Platform,instance,processor_manufacturer,processor,number_of_cores,memory_size(RAM),frequency,load_percentile,power,p100,p0,limitations
,M192ims v2,Intel,8280,192,4096,2.7,80,1086,1418,328,
,M192ims v2,Intel,8280,192,4096,2.7,70,960,1418,328,
,M192ims v2,Intel,8280,192,4096,2.7,60,849,1418,328,
,M192ims v2,Intel,8280,192,4096,2.7,50,753,1418,328,
,M192ims v2,Intel,8280,192,4096,2.7,40,681,1418,328,
,M192ims v2,Intel,8280,192,4096,2.7,30,620,1418,328,
,M192ims v2,Intel,8280,192,4096,2.7,20,558,1418,328,
,M192ims v2,Intel,8280,192,4096,2.7,10,493,1418,328,
,M192ims v2,Intel,8280,192,4096,2.7,0,328,1418,328,
,M208s v2,Intel,8280,208,2850,2.7,100,1864,1864, 361,"core 224, mem 768"
,M208s v2,Intel,8280,208,2850,2.7,90,1667,1864, 361,
,M208s v2,Intel,8280,208,2850,2.7,80,1411,1864, 361,
,M208s v2,Intel,8280,208,2850,2.7,70,1237,1864, 361,
,M208s v2,Intel,8280,208,2850,2.7,60,1084,1864, 361,
,M208s v2,Intel,8280,208,2850,2.7,50,954,1864, 361,
,M208s v2,Intel,8280,208,2850,2.7,40,857,1864, 361,
,M208s v2,Intel,8280,208,2850,2.7,30,773,1864, 361,
,M208s v2,Intel,8280,208,2850,2.7,20,692,1864, 361,
,M208s v2,Intel,8280,208,2850,2.7,10,603,1864, 361,
,M208s v2,Intel,8280,208,2850,2.7,0,361,1864, 361,
,M416s v2,Intel,8280,416,5700,2.7,100,3472,3472, 535,"core 392, mem 1344"
,M416s v2,Intel,8280,416,5700,2.7,90,3145,3472, 535,
,M416s v2,Intel,8280,416,5700,2.7,80,2751,3472, 535,
,M416s v2,Intel,8280,416,5700,2.7,70,2341,3472, 535,
,M416s v2,Intel,8280,416,5700,2.7,60,2058,3472, 535,
,M416s v2,Intel,8280,416,5700,2.7,50,1808,3472, 535,
,M416s v2,Intel,8280,416,5700,2.7,40,1579,3472, 535,
,M416s v2,Intel,8280,416,5700,2.7,30,1364,3472, 535,
,M416s v2,Intel,8280,416,5700,2.7,20,1167,3472, 535,
,M416s v2,Intel,8280,416,5700,2.7,10,990,3472, 535,
,M416s v2,Intel,8280,416,5700,2.7,0,535,3472, 535,
,M416ms v2,Intel,8280,416,11400,2.7,100,3472,3472, 535,"core 392, mem 1344"
,M416ms v2,Intel,8280,416,11400,2.7,90,3145,3472, 535,
,M416ms v2,Intel,8280,416,11400,2.7,80,2751,3472, 535,
,M416ms v2,Intel,8280,416,11400,2.7,70,2341,3472, 535,
,M416ms v2,Intel,8280,416,11400,2.7,60,2058,3472, 535,
,M416ms v2,Intel,8280,416,11400,2.7,50,1808,3472, 535,
,M416ms v2,Intel,8280,416,11400,2.7,40,1579,3472, 535,
,M416ms v2,Intel,8280,416,11400,2.7,30,1364,3472, 535,
,M416ms v2,Intel,8280,416,11400,2.7,20,1167,3472, 535,
,M416ms v2,Intel,8280,416,11400,2.7,10,990,3472, 535,
,M416ms v2,Intel,8280,416,11400,2.7,0,535,3472, 535,
,E64as v5,AMD,7763,64,512,2.45,100,228,228,53,mem 128
,E64as v6,AMD,7763,64,512,2.45,90,196,228,53,
,E64as v7,AMD,7763,64,512,2.45,80,172,228,53,
,E64as v8,AMD,7763,64,512,2.45,70,160,228,53,
,E64as v9,AMD,7763,64,512,2.45,60,150,228,53,
,E64as v10,AMD,7763,64,512,2.45,50,140,228,53,
,E64as v11,AMD,7763,64,512,2.45,40,130,228,53,
,E64as v12,AMD,7763,64,512,2.45,30,120,228,53,
,E64as v13,AMD,7763,64,512,2.45,20,109,228,53,
,E64as v14,AMD,7763,64,512,2.45,10,98.2,228,53,
,E64as v15,AMD,7763,64,512,2.45,0,53,228,53,
,E64ads v5,AMD,7763,64,512,2.45,100,228,228,53,mem 128
,E64ads v6,AMD,7763,64,512,2.45,90,196,228,53,
,E64ads v7,AMD,7763,64,512,2.45,80,172,228,53,
,E64ads v8,AMD,7763,64,512,2.45,70,160,228,53,
,E64ads v9,AMD,7763,64,512,2.45,60,150,228,53,
,E64ads v10,AMD,7763,64,512,2.45,50,140,228,53,
,E64ads v11,AMD,7763,64,512,2.45,40,130,228,53,
,E64ads v12,AMD,7763,64,512,2.45,30,120,228,53,
,E64ads v13,AMD,7763,64,512,2.45,20,109,228,53,
,E64ads v14,AMD,7763,64,512,2.45,10,98.2,228,53,
,E64ads v15,AMD,7763,64,512,2.45,0,53,228,53,
,EC64ads v5,AMD,7763,64,512,2.45,100,228,228,53,mem 128
,EC64ads v6,AMD,7763,64,512,2.45,90,196,228,53,
,EC64ads v7,AMD,7763,64,512,2.45,80,172,228,53,
,EC64ads v8,AMD,7763,64,512,2.45,70,160,228,53,
,EC64ads v9,AMD,7763,64,512,2.45,60,150,228,53,
,EC64ads v10,AMD,7763,64,512,2.45,50,140,228,53,
,EC64ads v11,AMD,7763,64,512,2.45,40,130,228,53,
,EC64ads v12,AMD,7763,64,512,2.45,30,120,228,53,
,EC64ads v13,AMD,7763,64,512,2.45,20,109,228,53,
,EC64ads v14,AMD,7763,64,512,2.45,10,98.2,228,53,
,EC64ads v15,AMD,7763,64,512,2.45,0,53,228,53,
,EC64as v5,AMD,7763,64,512,2.45,100,228,228,53,mem 512
,EC64as v5,AMD,7763,64,512,2.45,90,196,228,53,
,EC64as v5,AMD,7763,64,512,2.45,80,172,228,53,
,EC64as v5,AMD,7763,64,512,2.45,70,160,228,53,
,EC64as v5,AMD,7763,64,512,2.45,60,150,228,53,
,EC64as v5,AMD,7763,64,512,2.45,50,140,228,53,
,EC64as v5,AMD,7763,64,512,2.45,40,130,228,53,
,EC64as v5,AMD,7763,64,512,2.45,30,120,228,53,
,EC64as v5,AMD,7763,64,512,2.45,20,109,228,53,
,EC64as v5,AMD,7763,64,512,2.45,10,98.2,228,53,
,EC64as v5,AMD,7763,64,512,2.45,0,53,228,53,
,L64as v3,AMD,7763,64,512,2.45,100,228,228,53,mem 128
,L64as v3,AMD,7763,64,512,2.45,90,196,228,53,
,L64as v3,AMD,7763,64,512,2.45,80,172,228,53,
,L64as v3,AMD,7763,64,512,2.45,70,160,228,53,
,L64as v3,AMD,7763,64,512,2.45,60,150,228,53,
,L64as v3,AMD,7763,64,512,2.45,50,140,228,53,
,L64as v3,AMD,7763,64,512,2.45,40,130,228,53,
,L64as v3,AMD,7763,64,512,2.45,30,120,228,53,
,L64as v3,AMD,7763,64,512,2.45,20,109,228,53,
,L64as v3,AMD,7763,64,512,2.45,10,98.2,228,53,
,L64as v3,AMD,7763,64,512,2.45,0,53,228,53,
,HB60rs,AMD,7551,64,228,2,100,181,181,61.7,"core 60, mem 128"
,HB60rs,AMD,7551,64,228,2,90,170,181,61.7,
,HB60rs,AMD,7551,64,228,2,80,161,181,61.7,
,HB60rs,AMD,7551,64,228,2,70,153,181,61.7,
,HB60rs,AMD,7551,64,228,2,60,145,181,61.7,
,HB60rs,AMD,7551,64,228,2,50,136,181,61.7,
,HB60rs,AMD,7551,64,228,2,40,127,181,61.7,
,HB60rs,AMD,7551,64,228,2,30,116,181,61.7,
,HB60rs,AMD,7551,64,228,2,20,105,181,61.7,
,HB60rs,AMD,7551,64,228,2,10,92.3,181,61.7,
,HB60rs,AMD,7551,64,228,2,0,61.7,181,61.7,
,DC8 v2,Intel,E-2288G,8,32,3.7,100,56,16.3,
,DC8 v2,Intel,E-2288G,8,32,3.7,90,48.1,56,16.3,
,DC8 v2,Intel,E-2288G,8,32,3.7,80,42.5,56,16.3,
,DC8 v2,Intel,E-2288G,8,32,3.7,70,37.7,56,16.3,
,DC8 v2,Intel,E-2288G,8,32,3.7,60,33.6,56,16.3,
,DC8 v2,Intel,E-2288G,8,32,3.7,50,29.6,56,16.3,
,DC8 v2,Intel,E-2288G,8,32,3.7,40,26.1,56,16.3,
,DC8 v2,Intel,E-2288G,8,32,3.7,30,23.5,56,16.3,
,DC8 v2,Intel,E-2288G,8,32,3.7,20,21.2,56,16.3,
,DC8 v2,Intel,E-2288G,8,32,3.7,10,18.8,56,16.3,
,DC8 v2,Intel,E-2288G,8,32,3.7,0,16.3,56,16.3,
Google Cloud,m2-ultramem-208,Intel,8280L,208,5888,2.7,100,915,915,94.2,"core 112, mem 384"
,m2-ultramem-208,Intel,8280L,208,5888,2.7,90,735,915,94.2,
,m2-ultramem-208,Intel,8280L,208,5888,2.7,80,624,915,94.2,
,m2-ultramem-208,Intel,8280L,208,5888,2.7,70,546,915,94.2,
,m2-ultramem-208,Intel,8280L,208,5888,2.7,60,475,915,94.2,
,m2-ultramem-208,Intel,8280L,208,5888,2.7,50,410,915,94.2,
,m2-ultramem-208,Intel,8280L,208,5888,2.7,40,364,915,94.2,
,m2-ultramem-208,Intel,8280L,208,5888,2.7,30,324,915,94.2,
,m2-ultramem-208,Intel,8280L,208,5888,2.7,20,282,915,94.2,
,m2-ultramem-208,Intel,8280L,208,5888,2.7,10,238,915,94.2,
,m2-ultramem-208,Intel,8280L,208,5888,2.7,0,94.2,915,94.2,
,m2-megamem-416,Intel,8280L,416,5888,2.7,100,915,915,94.2,"core 112, mem 384"
,m2-megamem-416,Intel,8280L,416,5888,2.7,90,735,915,94.2,
,m2-megamem-416,Intel,8280L,416,5888,2.7,80,624,915,94.2,
,m2-megamem-416,Intel,8280L,416,5888,2.7,70,546,915,94.2,
,m2-megamem-416,Intel,8280L,416,5888,2.7,60,475,915,94.2,
,m2-megamem-416,Intel,8280L,416,5888,2.7,50,410,915,94.2,
,m2-megamem-416,Intel,8280L,416,5888,2.7,40,364,915,94.2,
